cif,status,atoms_before,atoms_after,guests_removed,guest_formulas,n_framework_comps
603,clean_already,81,81,0,,1
604,clean_already,150,150,0,,1
605,clean_already,126,126,0,,1
612,clean_already,102,102,0,,1
613,clean_already,126,126,0,,1
614,clean_already,360,360,0,,1
615,clean_already,189,189,0,,1
617,clean_already,236,236,0,,1
618,clean_already,342,342,0,,3
623,clean_already,60,60,0,,1
624,clean_already,57,57,0,,1
625,clean_already,126,126,0,,1
626,clean_already,136,136,0,,1
627,clean_already,136,136,0,,1
628,clean_already,128,128,0,,1
629,clean_already,252,252,0,,2
630,clean_already,252,252,0,,2
631,clean_already,120,120,0,,1
632,clean_already,240,240,0,,2
635,clean_already,72,72,0,,2
636,clean_already,72,72,0,,2
637,clean_already,72,72,0,,2
638,clean_already,72,72,0,,2
639,clean_already,84,84,0,,2
640,clean_already,72,72,0,,2
641,clean_already,72,72,0,,2
642,clean_already,72,72,0,,2
643,clean_already,72,72,0,,2
644,clean_already,72,72,0,,2
645,clean_already,223,223,0,,1
646,clean_already,432,432,0,,1
647,clean_already,91,91,0,,1
648,clean_already,88,88,0,,1
649,clean_already,330,330,0,,1
650,clean_already,87,87,0,,1
651,clean_already,81,81,0,,1
652,clean_already,84,84,0,,1
654,clean_already,106,106,0,,1
657,clean_already,172,172,0,,1
658,clean_already,147,147,0,,1
659,clean_already,147,147,0,,1
660,clean_already,158,158,0,,2
661,clean_already,152,152,0,,2
662,clean_already,48,48,0,,1
663,clean_already,48,48,0,,1
664,clean_already,234,234,0,,3
665,clean_already,56,56,0,,1
666,clean_already,48,48,0,,1
667,clean_already,88,88,0,,1
670,clean_already,315,315,0,,1
671,clean_already,150,150,0,,1
672,clean_already,168,168,0,,1
673,clean_already,186,186,0,,1
674,clean_already,171,171,0,,1
677,clean_already,105,105,0,,1
678,clean_already,90,90,0,,1
679,clean_already,156,156,0,,1
68,clean_already,18,18,0,,1
680,clean_already,216,216,0,,1
682,clean_already,87,87,0,,1
683,clean_already,84,84,0,,1
684,clean_already,162,162,0,,2
688,clean_already,88,88,0,,1
689,clean_already,90,90,0,,1
696,clean_already,160,160,0,,1
697,clean_already,320,320,0,,2
698,clean_already,174,174,0,,1
699,clean_already,348,348,0,,2
7,clean_already,544,544,0,,1
70,guests_removed,92,91,1,1xH1,1
702,clean_already,180,180,0,,1
704,clean_already,258,258,0,,3
705,clean_already,592,592,0,,2
706,clean_already,888,888,0,,3
707,clean_already,888,888,0,,3
708,clean_already,592,592,0,,2
71,clean_already,476,476,0,,2
711,clean_already,108,108,0,,1
712,clean_already,312,312,0,,2
717,clean_already,452,452,0,,1
718,clean_already,226,226,0,,1
719,clean_already,42,42,0,,1
72,clean_already,636,636,0,,2
720,clean_already,72,72,0,,1
721,clean_already,90,90,0,,1
722,clean_already,42,42,0,,1
723,clean_already,72,72,0,,1
724,clean_already,90,90,0,,1
733,clean_already,96,96,0,,1
740,clean_already,102,102,0,,1
741,clean_already,136,136,0,,1
742,clean_already,142,142,0,,1
743,clean_already,276,276,0,,2
744,clean_already,228,228,0,,2
745,clean_already,276,276,0,,2
746,clean_already,280,280,0,,2
749,clean_already,150,150,0,,1
75,clean_already,228,228,0,,1
750,clean_already,150,150,0,,1
751,clean_already,132,132,0,,1
752,clean_already,120,120,0,,1
753,clean_already,105,105,0,,1
754,clean_already,274,274,0,,1
755,clean_already,264,264,0,,2
756,clean_already,336,336,0,,2
757,guests_removed,372,371,1,1xH1,2
758,clean_already,81,81,0,,1
759,clean_already,90,90,0,,1
76,clean_already,236,236,0,,1
760,clean_already,236,236,0,,1
761,clean_already,872,872,0,,2
765,clean_already,128,128,0,,1
766,clean_already,252,252,0,,1
768,clean_already,138,138,0,,1
769,clean_already,252,252,0,,1
770,clean_already,258,258,0,,1
771,clean_already,66,66,0,,1
772,clean_already,72,72,0,,1
773,clean_already,69,69,0,,1
774,clean_already,166,166,0,,1
775,clean_already,140,140,0,,1
777,clean_already,156,156,0,,1
778,clean_already,57,57,0,,1
779,clean_already,222,222,0,,1
780,clean_already,162,162,0,,1
782,clean_already,72,72,0,,1
784,clean_already,111,111,0,,1
785,clean_already,129,129,0,,1
786,clean_already,99,99,0,,1
787,clean_already,96,96,0,,1
789,clean_already,114,114,0,,1
79,clean_already,126,126,0,,2
790,clean_already,228,228,0,,2
791,clean_already,138,138,0,,1
792,guests_removed,124,122,2,2xH1,1
793,clean_already,141,141,0,,1
794,clean_already,156,156,0,,1
795,clean_already,171,171,0,,1
796,clean_already,108,108,0,,1
8,clean_already,476,476,0,,1
80,clean_already,102,102,0,,1
800,clean_already,182,182,0,,1
802,clean_already,90,90,0,,1
803,clean_already,102,102,0,,1
804,clean_already,108,108,0,,1
805,clean_already,180,180,0,,1
806,clean_already,150,150,0,,1
807,clean_already,162,162,0,,1
808,clean_already,172,172,0,,1
809,clean_already,170,170,0,,1
81,clean_already,120,120,0,,1
812,clean_already,192,192,0,,2
814,clean_already,248,248,0,,2
815,clean_already,132,132,0,,1
816,clean_already,144,144,0,,1
817,clean_already,150,150,0,,1
818,clean_already,141,141,0,,1
819,clean_already,150,150,0,,1
82,clean_already,72,72,0,,1
827,clean_already,63,63,0,,1
